,TransactionNo,BranchID,ReservationDate,FinancingType,ClientID,SourceofSale,StatusCode,UnitCode,LotPrice,Vat,GrossLotPrice,SalesDisc,NetLotPrice,Misc,TCP,"INSERT INTO ReservationHDR (
    TransactionNo, BranchID, ReservationDate, FinTypeCode, ClientID,
    SourceCode, StatusCode, UnitCode, LotPrice, Vat, GrossLotPrice,
    SalesDisc, NetLotPrice, Misc, TCP
) VALUES ("
,018-2024-RS-000183,18,1/31/2024 1:16,SPOT,961243,AGT,11,HIJ-16-4-L,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000184,18,1/31/2024 1:24,SPOT,961243,AGT,11,HIJ-16-4-K,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000185,18,1/31/2024 1:44,SPOT,965633,AGT,11,HIJ-11-8-Q,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,014-2024-RS-000124,14,2/5/2024 10:01,SPOT,965675,AGT,11,EFG-6-34-T,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,014-2024-RS-000125,14,2/5/2024 10:18,SPOT,965676,AGT,11,EFG-6-35-P,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,018-2024-RS-000225,18,2/10/2024 18:43,SPOT,965770,AGT,11,HIJ-26A-1-N,1004464.29,120535.71,1125000.00,168750.00,956250.00,375000.00,1331250.00,
,018-2024-RS-000226,18,2/12/2024 17:00,SPOT,965783,AGT,11,HIJ-11-28-A,93750,11250,105000.00,0.00,105000.00,35000.00,140000.00,
,014-2024-RS-000132,14,2/15/2024 10:27,SPOT,965812,AGT,11,EFG-6-36-Q,106562.5,12787.5,119350.00,17902.50,101447.50,35650.00,137097.50,
,014-2024-RS-000133,14,2/15/2024 10:35,SPOT,965812,AGT,11,EFG-6-36-R,106562.5,12787.5,119350.00,17902.50,101447.50,35650.00,137097.50,
,014-2024-RS-000138,14,2/19/2024 9:53,SPOT,965866,AGT,11,EFG-6-35-S,106562.5,12787.5,119350.00,17902.50,101447.50,35650.00,137097.50,
,018-2024-RS-000254,18,2/26/2024 9:34,SPOT,965934,AGT,11,HIJ-18-19-C,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,018-2024-RS-000237,18,2/26/2024 10:02,SPOT,965936,OFCEMP,11,HIJ-27-32-K,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,018-2024-RS-000238,18,2/26/2024 10:26,SPOT,965940,OFCEMP,11,HIJ-27-32-L,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,014-2024-RS-000153,14,2/26/2024 10:33,SPOT,965742,OFCEMP,11,EFG-3-12-A,99687.5,11962.5,111650.00,22330.00,89320.00,33350.00,122670.00,
,018-2024-RS-000239,18,2/26/2024 10:44,SPOT,965943,OFCEMP,11,HIJ-27-32-J,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,018-2024-RS-000260,18,2/26/2024 11:52,SPOT,965972,AGT,11,HIJ-27-41-I,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,018-2024-RS-M007830,18,2/28/2024 0:00,INH,965331,OFC,11,HIJ-11-13-Q,102678.57,12321.43,115000.00,0.00,115000.00,25000.00,140000.00,
,014-2024-RS-000166,14,2/28/2024 15:07,SPOT,966041,AGT,11,EFG-9-12-A,99687.5,11962.5,111650.00,16747.50,94902.50,33350.00,128252.50,
,018-2024-RS-000290,18,2/29/2024 14:00,SPOT,966112,AGT,11,HIJ-18-21-K,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,018-2024-RS-000291,18,2/29/2024 14:37,SPOT,966112,AGT,11,HIJ-18-21-L,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,014-2024-RS-000177,14,3/2/2024 13:55,SPOT,966180,AGT,11,EFG-6-32-X,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,014-2024-RS-000179,14,3/4/2024 10:22,SPOT,966185,AGT,11,EFG-6-24-H,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,014-2024-RS-000185,14,3/6/2024 15:53,SPOT,966180,AGT,11,EFG-6-32-W,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,014-2024-RS-000186,14,3/6/2024 16:22,SPOT,966180,AGT,11,EFG-6-32-V,106562.5,12787.5,119350.00,17902.50,101447.50,35650.00,137097.50,
,018-2024-RS-000312,18,3/16/2024 14:37,SPOT,962864,AGT,11,HIJ-18-25-J,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,014-2024-RS-000198,14,3/25/2024 11:12,SPOT,966431,AGT,11,EFG-4-14-L,113437.5,13612.5,127050.00,30492.00,96558.00,37950.00,134508.00,
,014-2024-RS-000204,14,3/25/2024 14:42,SPOT,966434,AGT,11,EFG-6-8-F,113437.5,13612.5,127050.00,25410.00,101640.00,37950.00,139590.00,
,014-2024-RS-000205,14,3/25/2024 15:37,SPOT,966434,AGT,11,EFG-6-8-D,113437.5,13612.5,127050.00,25410.00,101640.00,37950.00,139590.00,
,014-2024-RS-000206,14,3/25/2024 15:41,SPOT,966434,AGT,11,EFG-6-8-E,113437.5,13612.5,127050.00,25410.00,101640.00,37950.00,139590.00,
,018-2024-RS-000323,18,3/25/2024 15:48,SPOT,966520,AGT,11,HIJ-27-40-I,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,014-2024-RS-000228,14,3/26/2024 15:06,SPOT,966568,AGT,11,EFG-2-20-D,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000366,18,3/26/2024 17:42,SPOT,966612,AGT,11,HIJ-17-2-K,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,014-2024-RS-000234,14,3/27/2024 8:59,SPOT,966551,AGT,11,EFG-6-37-I,99687.5,11962.5,111650.00,22330.00,89320.00,33350.00,122670.00,
,018-2024-RS-000359,18,3/31/2024 15:42,SPOT,966597,AGT,11,HIJ-11-19-K,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000360,18,3/31/2024 16:06,SPOT,966597,AGT,11,HIJ-11-19-L,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000361,18,3/31/2024 16:16,SPOT,966597,AGT,11,HIJ-11-19-M,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000362,18,3/31/2024 16:29,SPOT,966597,AGT,11,HIJ-11-19-N,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000363,18,3/31/2024 16:51,SPOT,966597,AGT,11,HIJ-11-19-O,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000364,18,3/31/2024 17:14,SPOT,966113,AGT,11,HIJ-27-38-I,78348.21,9401.79,87750.00,17550.00,70200.00,29250.00,99450.00,
,018-2024-RS-000365,18,3/31/2024 17:30,SPOT,966466,AGT,11,HIJ-11-14-F,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,021-2024-RS-000291,21,4/3/2024 11:21,SPOT,955342,AGT,11,KLM-2-B-1-C,30133.93,3616.07,33750.00,5062.50,28687.50,11250.00,39937.50,
,018-2024-RS-000375,18,4/6/2024 17:59,SPOT,966781,AGT,11,HIJ-27-41-J,78348.21,9401.79,87750.00,13162.50,74587.50,29250.00,103837.50,
,014-2024-RS-000296,14,4/8/2024 15:05,SPOT,966828,AGT,11,EFG-6-16-S,99687.5,11962.5,111650.00,22330.00,89320.00,33350.00,122670.00,
,021-2024-RS-000298,21,4/9/2024 15:49,SPOT,961676,AGT,11,KLM-2-B-1-F,30133.93,3616.07,33750.00,5062.50,28687.50,11250.00,39937.50,
,014-2024-RS-000301,14,4/9/2024 16:17,SPOT,966833,AGT,11,EFG-6-7-B,113437.5,13612.5,127050.00,19057.50,107992.50,37950.00,145942.50,
,018-2024-RS-000381,18,4/16/2024 10:34,SPOT,966938,OFCEMP,11,HIJ-18-16-A,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,014-2024-RS-000329,14,4/23/2024 15:15,SPOT,967023,AGT,11,EFG-6-19-M,99687.5,11962.5,111650.00,16747.50,94902.50,33350.00,128252.50,
,014-2024-RS-000330,14,4/23/2024 15:27,SPOT,967023,AGT,11,EFG-6-19-L,99687.5,11962.5,111650.00,16747.50,94902.50,33350.00,128252.50,
,014-2024-RS-000331,14,4/24/2024 9:44,SPOT,967035,AGT,11,EFG-1-18-O,104500,12540,117040.00,17556.00,99484.00,34960.00,134444.00,
,018-2024-RS-000409,18,4/30/2024 13:54,SPOT,967217,AGT,11,HIJ-17B-4-I,40848.21,4901.79,45750.00,9150.00,36600.00,15250.00,51850.00,
,018-2024-RS-000400,18,4/30/2024 15:37,SPOT,967202,AGT,11,HIJ-26A-1-S,1004464.29,120535.71,1125000.00,225000.00,900000.00,375000.00,1275000.00,
,018-2024-RS-000401,18,4/30/2024 17:02,SPOT,967216,AGT,11,HIJ-16B-5-K,40848.21,4901.79,45750.00,9150.00,36600.00,15250.00,51850.00,
,018-2024-RS-000413,18,4/30/2024 17:49,SPOT,961243,AGT,11,HIJ-16B-1-W,40848.21,4901.79,45750.00,6862.50,38887.50,15250.00,54137.50,
,012-2024-RS-000064,12,5/2/2024 17:08,SPOT,967384,AGT,11,ABC-37-3-C,937500,112500,1050000.00,210000.00,840000.00,350000.00,1190000.00,
,012-2024-RS-000065,12,5/2/2024 17:32,SPOT,967384,AGT,11,ABC-37-3-E,970982.14,116517.86,1087500.00,217500.00,870000.00,362500.00,1232500.00,
,012-2024-RS-000066,12,5/2/2024 17:33,SPOT,967386,AGT,11,ABC-37-3-F,970982.14,116517.86,1087500.00,217500.00,870000.00,362500.00,1232500.00,
,012-2024-RS-000067,12,5/2/2024 17:58,SPOT,967386,AGT,11,ABC-37-3-D,937500,112500,1050000.00,210000.00,840000.00,350000.00,1190000.00,
,012-2024-RS-000078,12,5/11/2024 13:30,SPOT,967411,AGT,11,ABC-5-13-S,63616.07,7633.93,71250.00,14250.00,57000.00,23750.00,80750.00,
,018-2024-RS-000421,18,5/15/2024 13:05,SPOT,967528,AGT,11,HIJ-11-20-P,71651.79,8598.21,80250.00,8025.00,72225.00,26750.00,98975.00,
,018-2024-RS-000422,18,5/15/2024 13:26,SPOT,967528,AGT,11,HIJ-11-20-Q,71651.79,8598.21,80250.00,8025.00,72225.00,26750.00,98975.00,
,018-2024-RS-000423,18,5/15/2024 13:47,SPOT,967528,AGT,11,HIJ-16-2-R,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000424,18,5/15/2024 14:02,SPOT,967528,AGT,11,HIJ-16-2-S,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000425,18,5/15/2024 14:08,SPOT,967528,AGT,11,HIJ-16-2-T,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,014-2024-RS-000364,14,5/15/2024 14:12,SPOT,967268,OFCEMP,11,EFG-1-11-P,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,014-2024-RS-000365,14,5/15/2024 16:30,SPOT,967268,OFCEMP,11,EFG-1-11-Q,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,014-2024-RS-000366,14,5/15/2024 16:37,SPOT,967268,OFCEMP,11,EFG-1-21-N,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,012-2024-RS-000081,12,5/15/2024 16:40,SPOT,967386,AGT,11,ABC-37-3-B,937500,112500,1050000.00,210000.00,840000.00,350000.00,1190000.00,
,012-2024-RS-000080,12,5/15/2024 16:41,SPOT,967386,AGT,11,ABC-37-3-A,937500,112500,1050000.00,210000.00,840000.00,350000.00,1190000.00,
,014-2024-RS-000371,14,5/17/2024 16:26,SPOT,967268,AGT,11,EFG-1-21-O,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,021-2024-RS-000439,21,5/27/2024 13:43,SPOT,967757,AGT,11,KLM-1-24-G,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000440,21,5/27/2024 13:50,SPOT,967757,AGT,11,KLM-1-24-H,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000441,21,5/27/2024 14:13,SPOT,967755,AGT,11,KLM-1-24-I,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000442,21,5/27/2024 14:17,SPOT,967755,AGT,11,KLM-1-24-J,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000443,21,5/27/2024 14:22,SPOT,967756,AGT,11,KLM-1-24-A,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000444,21,5/27/2024 14:26,SPOT,967756,AGT,11,KLM-1-24-B,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000445,21,5/27/2024 14:31,SPOT,967756,AGT,11,KLM-1-24-C,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000446,21,5/27/2024 14:35,SPOT,967756,AGT,11,KLM-1-24-D,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000447,21,5/27/2024 14:40,SPOT,967756,AGT,11,KLM-1-24-E,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,021-2024-RS-000448,21,5/27/2024 14:45,SPOT,967756,AGT,11,KLM-1-24-F,87053.57,10446.43,97500.00,19500.00,78000.00,32500.00,110500.00,
,018-2024-RS-000435,18,5/30/2024 14:16,SPOT,967808,AGT,11,HIJ-11-30-G,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,014-2024-RS-000394,14,5/31/2024 16:41,SPOT,967828,AGT,11,EFG-1-15-T,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,018-2024-RS-000445,18,6/8/2024 11:21,SPOT,967933,AGT,11,HIJ-18-31-L,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000446,18,6/8/2024 11:25,SPOT,967933,AGT,11,HIJ-18-31-M,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000447,18,6/8/2024 11:28,SPOT,967933,AGT,11,HIJ-18-31-N,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000448,18,6/8/2024 11:32,SPOT,967933,AGT,11,HIJ-18-31-O,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000449,18,6/8/2024 11:38,SPOT,967933,AGT,11,HIJ-18-32-K,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000450,18,6/8/2024 11:40,SPOT,967933,AGT,11,HIJ-18-32-L,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000451,18,6/8/2024 11:43,SPOT,967933,AGT,11,HIJ-18-32-M,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000452,18,6/8/2024 11:46,SPOT,967933,AGT,11,HIJ-18-32-N,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000453,18,6/8/2024 11:48,SPOT,967933,AGT,11,HIJ-18-32-O,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000454,18,6/8/2024 11:54,SPOT,967933,AGT,11,HIJ-18-33-K,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000455,18,6/8/2024 11:57,SPOT,967933,AGT,11,HIJ-18-33-L,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000457,18,6/8/2024 12:02,SPOT,967933,AGT,11,HIJ-18-33-M,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000458,18,6/8/2024 12:06,SPOT,967933,AGT,11,HIJ-18-33-N,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000459,18,6/8/2024 12:09,SPOT,967933,AGT,11,HIJ-18-33-O,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000460,18,6/8/2024 12:17,SPOT,967933,AGT,11,HIJ-18-34-K,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000461,18,6/10/2024 13:03,SPOT,967953,AGT,11,HIJ-20-32-D,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000463,18,6/17/2024 10:50,SPOT,968098,AGT,11,HIJ-18-19-I,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,014-2024-RS-000422,14,6/25/2024 10:02,SPOT,968130,AGT,11,EFG-19-33-R,106562.5,12787.5,119350.00,17902.50,101447.50,35650.00,137097.50,
,014-2024-RS-000426,14,6/26/2024 14:57,SPOT,968170,AGT,11,EFG-19-6-K,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000484,18,6/28/2024 13:30,SPOT,968237,AGT,11,HIJ-11-4-C,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,018-2024-RS-000485,18,6/28/2024 15:32,SPOT,968237,AGT,11,HIJ-11-11-C,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,018-2024-RS-000497,18,6/29/2024 16:15,SPOT,968096,AGT,11,HIJ-27-33-J,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,018-2024-RS-000498,18,6/29/2024 16:22,SPOT,968096,AGT,11,HIJ-27-34-F,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,018-2024-RS-000502,18,6/29/2024 17:31,SPOT,968171,OFCEMP,11,HIJ-18-19-J,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000510,18,6/30/2024 9:12,SPOT,963019,AGT,11,HIJ-20-9-C,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,014-2024-RS-000435,14,6/30/2024 14:17,SPOT,968338,AGT,11,EFG-1-19-M,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,014-2024-RS-000434,14,6/30/2024 14:19,SPOT,968325,AGT,11,EFG-2-18-B,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000520,18,6/30/2024 14:53,SPOT,968410,AGT,11,HIJ-16-23-K,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,014-2024-RS-000433,14,6/30/2024 14:53,SPOT,968304,AGT,11,EFG-6-21-T,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000521,18,6/30/2024 14:56,SPOT,968410,AGT,11,HIJ-16-23-L,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,014-2024-RS-000436,14,6/30/2024 15:19,SPOT,968347,AGT,11,EFG-3-10-X,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000437,14,6/30/2024 15:23,SPOT,968347,AGT,11,EFG-3-17-D,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000516,18,6/30/2024 17:44,SPOT,968364,AGT,11,HIJ-16-1-M,77008.93,9241.07,86250.00,17250.00,69000.00,28750.00,97750.00,
,018-2024-RS-000523,18,6/30/2024 18:30,SPOT,968429,AGT,11,HIJ-11-2-C,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,014-2024-RS-000451,14,6/30/2024 19:08,SPOT,968378,AGT,11,EFG-1-17-T,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,014-2024-RS-000469,14,7/13/2024 11:30,SPOT,968532,AGT,11,EFG-4-22-J,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000470,14,7/13/2024 11:40,SPOT,968532,AGT,11,EFG-4-23-F,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000526,18,7/15/2024 14:13,SPOT,968585,AGT,11,HIJ-11-14-I,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,012-2024-RS-000145,12,7/27/2024 14:03,SPOT,968067,AGT,11,ABC-8-33-F,70312.5,8437.5,78750.00,15750.00,63000.00,26250.00,89250.00,
,014-2024-RS-000505,14,7/30/2024 11:04,SPOT,968783,AGT,11,EFG-6-7-P,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000506,14,7/30/2024 11:18,SPOT,968785,AGT,11,EFG-6-6-S,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000507,14,7/30/2024 11:28,SPOT,968789,AGT,11,EFG-6-6-R,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000508,14,7/30/2024 11:37,SPOT,968790,AGT,11,EFG-6-6-T,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000543,18,7/30/2024 16:30,SPOT,968798,AGT,11,HIJ-11-26-T,84375,10125,94500.00,18900.00,75600.00,31500.00,107100.00,
,014-2024-RS-000520,14,7/31/2024 16:12,SPOT,968972,AGT,11,EFG-1-9-O,110000,13200,123200.00,24640.00,98560.00,36800.00,135360.00,
,014-2024-RS-000535,14,8/13/2024 12:07,SPOT,969103,AGT,11,EFG-6-13-J,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000536,14,8/13/2024 12:12,SPOT,969103,AGT,11,EFG-6-14-F,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,014-2024-RS-000537,14,8/13/2024 12:17,SPOT,969103,AGT,11,EFG-6-13-I,106562.5,12787.5,119350.00,23870.00,95480.00,35650.00,131130.00,
,018-2024-RS-000551,18,8/17/2024 14:41,SPOT,969187,AGT,11,HIJ-11-20-L,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000552,18,8/17/2024 15:10,SPOT,969188,AGT,11,HIJ-11-20-M,71651.79,8598.21,80250.00,16050.00,64200.00,26750.00,90950.00,
,018-2024-RS-000561,18,8/24/2024 14:37,SPOT,969270,AGT,11,HIJ-16B-5-A,40848.21,4901.79,45750.00,9150.00,36600.00,15250.00,51850.00,
,021-2024-RS-000617,21,8/24/2024 15:21,SPOT,969272,AGT,11,KLM-9-8-P,66294.64,7955.36,74250.00,14850.00,59400.00,24750.00,84150.00,
,021-2024-RS-000618,21,8/24/2024 15:45,SPOT,969272,AGT,11,KLM-9-8-K,66294.64,7955.36,74250.00,14850.00,59400.00,24750.00,84150.00,
,014-2024-RS-000546,14,8/27/2024 15:33,SPOT,969352,AGT,11,EFG-3-20-S,120312.5,14437.5,134750.00,26950.00,107800.00,40250.00,148050.00,
,014-2024-RS-000547,14,8/27/2024 15:51,SPOT,969355,AGT,11,EFG-3-20-R,120312.5,14437.5,134750.00,26950.00,107800.00,40250.00,148050.00,
